"","Year","State","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"200",2002,"TENNESSEE",716.9,7.2,162.4,507.8,4302,1056.5,2787.7,457.8
"201",2002,"TEXAS",578.6,6,172.5,361,4611,976.1,3163.4,471.4
"202",2002,"UTAH",236.9,2,49.2,145,4215.5,653,3229.1,333.4
"203",2002,"VERMONT",106.7,2.1,12.5,71.7,2423.3,565.9,1732.8,124.7
"204",2002,"VIRGINIA",291.4,5.3,95.4,165.5,2848.9,435.4,2160.1,253.3
"205",2002,"WASHINGTON",345.4,3,95.5,201.8,4761.4,905.4,3188.8,667.2
"206",2002,"WEST VIRGINIA",234.3,3.2,36.5,176.4,2280.9,537.1,1527.5,216.3
"207",2002,"WISCONSIN",224.9,2.8,86.6,112.7,3027.8,513.2,2267.2,247.3
"208",2002,"WYOMING",273.5,3,18.6,222.2,3307.4,490.9,2667.5,149
"209",2003,"ALABAMA",429.5,6.6,134.2,251.9,4049.1,960.8,2756,332.3
"210",2003,"ALASKA",593.4,6,68.4,426.5,3742.2,594.2,2770.7,377.3
"211",2003,"ARIZONA",513.2,7.9,136.5,335.5,5632.4,1050.3,3560.9,1021.3
"212",2003,"ARKANSAS",456.1,6.4,81.7,334.8,3621.4,913.6,2487.3,220.5
"213",2003,"CALIFORNIA",579.3,6.8,179.7,364.6,3424.3,682.8,2061.4,680.1
"214",2003,"COLORADO",345.1,3.9,82.1,217.6,3940.9,711.3,2730.8,498.8
"215",2003,"CONNECTICUT",308.2,3,119,167.5,2606.7,448.1,1842.1,316.5
"216",2003,"DELAWARE",658,2.9,169.9,442,3384.4,729.8,2302.3,352.3
"217",2003,"DISTRICT OF COLUMBIA",1608.1,44.2,699.5,815.8,5800.3,829.1,3213.4,1757.8
"218",2003,"FLORIDA",730.2,5.4,185.2,500.1,4452,1002.7,2970.1,479.2
"219",2003,"GEORGIA",453.9,7.6,161.8,258.8,4254.6,909.2,2846,499.4
"220",2003,"HAWAII",270.4,1.7,92.9,146.5,5237.5,907.2,3562.9,767.4
