"","Year","State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"254",2000,"COLORADO","M","N",1,12805,"121","2945",8177,135917,23812,96099,16006
"255",2000,"COLORADO","O","Y",0.897,964,"7","71",745,13901,2000,11357,544
"256",2000,"COLORADO","O","N",1,1074,"8","79",830,15494,2229,12659,606
"257",2000,"COLORADO","R","Y",0.942,460,"5","9",394,5206,1029,3848,329
"258",2000,"COLORADO","R","N",1,488,"5","10",418,5526,1092,4085,349
"259",2000,"CONNECTICUT","M","Y",1,9740,"97","3720",5316,90126,15154,62619,12353
"260",2000,"CONNECTICUT","O","Y",1,227,"--","33",185,2068,370,1577,121
"261",2000,"CONNECTICUT","R","Y",1,1091,"1","79",949,6839,1912,4302,625
"262",2000,"DELAWARE","M","Y",1,NA,"22","1280",296,25526,4193,18333,3000
"263",2000,"DELAWARE","O","Y",1,NA,NA,"66",216,1795,293,1449,53
"264",2000,"DELAWARE","R","Y",1,NA,"3","48",508,2406,730,1578,98
"265",2000,"DISTRICT OF COLUMBIA","M","Y",1,8626,"239","3554",4582,33000,4745,21655,6600
"266",2000,"FLORIDA","M","Y",0.995,122600,"840","30780",84406,737016,160867,489951,86198
"267",2000,"FLORIDA","M","N",1,123095,"842","30914",84742,740837,161641,492580,86616
"268",2000,"FLORIDA","O","Y",0.903,2179,"18","452",1599,13296,3066,9405,825
"269",2000,"FLORIDA","O","N",1,2415,"20","501",1772,14732,3397,10421,914
"270",2000,"FLORIDA","R","Y",0.931,3972,"38","367",3252,23091,7316,14238,1537
"271",2000,"FLORIDA","R","N",1,4267,"41","394",3494,24808,7860,15297,1651
"272",2000,"GEORGIA","M","Y",0.984,30084,"474","11304",16844,254845,49389,172496,32960
"273",2000,"GEORGIA","M","N",1,30604,"481","11476",17158,260698,50278,176886,33534
"274",2000,"GEORGIA","O","Y",0.868,5946,"75","1186",4439,45293,7801,35321,2171
"275",2000,"GEORGIA","O","N",1,6853,"86","1367",5116,52197,8990,40705,2502
"276",2000,"GEORGIA","R","Y",0.83,3205,"70","338",2635,28823,7651,18960,2212
"277",2000,"GEORGIA","R","N",1,3862,"84","407",3176,34735,9220,22849,2666
"278",2000,"HAWAII","M","Y",1,2302,"20","984",1058,44357,6946,32197,5214
"279",2000,"HAWAII","R","Y",1,652,"15","139",392,15676,3719,11057,900
"280",2000,"IDAHO","M","Y",1,1489,"6","112",1215,18198,3411,13836,951
"281",2000,"IDAHO","O","Y",0.969,1050,"2","89",834,13474,2361,10448,665
"282",2000,"IDAHO","O","N",1,1083,"2","92",860,13895,2435,10774,686
"283",2000,"IDAHO","R","Y",1,695,"8","19",569,5863,1483,3931,449
"284",2000,"INDIANA","M","Y",0.86,16254,"285","5564",9149,141668,28208,97222,16238
"285",2000,"INDIANA","M","N",1,17418,"298","5780",9973,158529,31088,109856,17585
"286",2000,"INDIANA","O","Y",0.829,1171,"21","297",707,23490,3734,18374,1382
"287",2000,"INDIANA","O","N",1,1412,"25","358",853,28335,4504,22164,1667
"288",2000,"INDIANA","R","Y",0.416,999,"12","60",837,8342,2296,5281,765
"289",2000,"INDIANA","R","N",1,2400,"29","144",2011,20041,5516,12687,1838
"290",2000,"IOWA","M","Y",0.992,5183,"36","902",3800,52695,9343,39635,3717
"291",2000,"IOWA","M","N",1,5213,"36","906",3822,53103,9404,39953,3746
"292",2000,"IOWA","O","Y",0.862,1826,"8","136",1522,23383,4083,18303,997
"293",2000,"IOWA","O","N",1,2118,"9","158",1765,27113,4734,21223,1156
"294",2000,"IOWA","R","Y",1,465,"1","7",416,6618,2204,3942,472
"295",2000,"LOUISIANA","M","Y",0.961,23500,"467","6848",14971,174077,36624,117875,19578
"296",2000,"LOUISIANA","M","N",1,24250,"474","6983",15543,180025,37834,122155,20036
"297",2000,"LOUISIANA","O","Y",0.771,2285,"22","248",1934,13906,3157,10295,454
"298",2000,"LOUISIANA","O","N",1,2965,"29","322",2509,18037,4095,13353,589
"299",2000,"LOUISIANA","R","Y",0.928,2993,"53","211",2597,12842,4045,8199,598
"300",2000,"LOUISIANA","R","N",1,3225,"57","227",2799,13842,4360,8837,645
"301",2000,"MAINE","M","Y",1,654,"2","164",321,14133,2717,10903,513
"302",2000,"MAINE","O","Y",0.99,553,"4","65",375,12627,2087,10063,477
"303",2000,"MAINE","O","N",1,559,"4","66",379,12750,2107,10161,482
"304",2000,"MAINE","R","Y",1,184,"9","17",115,5120,1951,2842,327
"305",2000,"MARYLAND","M","Y",1,39516,"417","13279",24393,200964,36654,136299,28011
"306",2000,"MARYLAND","O","Y",1,1160,"2","212",897,7295,1260,5731,304
"307",2000,"MARYLAND","R","Y",1,987,"11","69",840,5163,1512,3393,258
