"State","Area","Actual","Percentage","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"WASHINGTON","R","Y","1",14897,862,14035,"24",172,"68",598,4570,8563,902
"WEST VIRGINIA","M","Y","0.88500000000000001",23771,2479,21292,"20",196,"522",1741,4849,14660,1783
"WEST VIRGINIA","M","N","1",26353,2746,23607,"22",209,"554",1961,5320,16311,1976
"WEST VIRGINIA","O","Y","0.91900000000000004",7807,873,6934,"11",38,"120",704,1373,5198,363
"WEST VIRGINIA","O","N","1",8492,950,7542,"12",41,"131",766,1493,5654,395
"WEST VIRGINIA","R","Y","0.89000000000000001",10884,1805,9079,"11",72,"57",1665,2740,5498,841
"WEST VIRGINIA","R","N","1",12222,2027,10195,"12",81,"64",1870,3077,6174,944
"WISCONSIN","M","Y","0.97099999999999997",130111,10661,119450,"148",840,"4411",5262,18123,88615,12712
"WISCONSIN","M","N","1",132238,10754,121484,"149",852,"4431",5322,18438,90233,12813
"WISCONSIN","O","Y","0.96799999999999997",24757,973,23784,"2",148,"77",746,2765,20134,885
"WISCONSIN","O","N","1",25569,1005,24564,"2",153,"80",770,2856,20794,914
"WISCONSIN","R","Y","0.96299999999999997",13786,906,12880,"17",154,"25",710,3745,8260,875
"WISCONSIN","R","N","1",14317,941,13376,"18",160,"26",737,3889,8578,909
"WYOMING","M","Y","1",5614,413,5201,"6",78,"44",285,734,4225,242
"WYOMING","O","Y","0.99099999999999999",8257,591,7666,"3",65,"22",501,907,6546,213
"WYOMING","O","N","1",8336,597,7739,"3",66,"22",506,916,6608,215
"WYOMING","R","Y","1",2335,306,2029,"3",16,"4",283,428,1485,116
